id,questionnaire_id,code,name,description,position
4f1f7d8e-e393-4a82-b1df-aaee62f38d72,9a08a98a-297b-4867-8e33-040369252927,family,Схема оценки семьи,,1
d33c0ebd-2005-4ebe-ae41-06cd93eef899,9a08a98a-297b-4867-8e33-040369252927,conflict_behavior,Поведение в конфликтной ситуации,,2
fb362370-73e2-4c29-a3b5-9a010ed1d40d,9a08a98a-297b-4867-8e33-040369252927,social_adaptation,Социально-психологическая адаптация,,3
c3be280d-5c97-48b0-8baf-a43e9d28664d,9a08a98a-297b-4867-8e33-040369252927,perfectionism,Перфекционизм,,4
2860b0b7-bd58-4d08-a512-0ae704385d6c,9a08a98a-297b-4867-8e33-040369252927,hopelessness,Безнадежность,,5
2f969546-3e2e-4c8a-b62e-d414d7dc53bd,9a08a98a-297b-4867-8e33-040369252927,achievement_motivation,Мотивация достижения,,6
0c5b74c5-5318-44f2-9431-425714dd0755,9a08a98a-297b-4867-8e33-040369252927,anxiety,Тревога,,7
fbf1ff16-f439-45b3-9e75-b5e3920443e0,9a08a98a-297b-4867-8e33-040369252927,depression,Депрессия,,8
0801ca37-919c-42c4-92ac-70813974d38e,9a08a98a-297b-4867-8e33-040369252927,suicidal_risk,Суицидальный риск,,9
e6fbf654-5290-4165-9f8d-7e3f28c50e6d,630f5670-be31-4830-a3fd-052d123fcce7,family_assessment,Схема оценки семьи,"Оценка эмоциональной поддержки, доверия, сплоченности и качества коммуникации в семье.",1
e4708649-c874-4983-a418-90eac0f7f63f,630f5670-be31-4830-a3fd-052d123fcce7,conflict_behavior,Поведение в конфликтной ситуации,"Оценка способности контролировать эмоции, анализировать свое поведение и находить компромисс.",2
a489f970-3fee-43bc-9e75-7ba9e9f363f4,630f5670-be31-4830-a3fd-052d123fcce7,social_adaptation,Социально-психологическая адаптация,"Оценка гибкости, социализации и способности осваиваться в новых социальных условиях.",3
4bcc5266-96fc-4c85-88f5-09f61e3f02cc,630f5670-be31-4830-a3fd-052d123fcce7,perfectionism,Перфекционизм,"Оценка чрезмерных требований к себе, страха ошибок и стремления к идеальному результату.",4
d77dbf37-f62f-4294-902b-34d0e9cd9ce1,630f5670-be31-4830-a3fd-052d123fcce7,hopelessness,Безнадежность,"Оценка пессимизма, ощущения беспомощности и отсутствия веры в улучшение ситуации.",5
e1dc6e53-63dc-457b-9287-522913f6dc78,630f5670-be31-4830-a3fd-052d123fcce7,achievement_motivation,Мотивация достижения,"Оценка целеполагания, настойчивости, планирования и стремления к саморазвитию.",6
2b9c6e4a-4109-42f3-ad99-03206ba81fb3,630f5670-be31-4830-a3fd-052d123fcce7,anxiety,Тревога,"Оценка выраженности беспокойства, напряжения и влияния тревоги на повседневную жизнь.",7
2ff2ca2b-c3b9-4d86-9e95-79e2caf25f62,630f5670-be31-4830-a3fd-052d123fcce7,depression,Депрессия,"Оценка сниженного настроения, потери интереса, утомляемости и других депрессивных признаков.",8
ab5b157b-8a13-4bc6-a262-e7828d93f0bd,630f5670-be31-4830-a3fd-052d123fcce7,suicide_risk,Суицидальный риск,"Оценка наличия мыслей о смерти и самоповреждении, чувства безнадежности и восприятия себя как обузы.",9
