id,question_id,answer_value,points
cbfe71b2-4891-46d0-9bcd-1d3361702943,330f6b6e-ea4a-4e34-8c6d-cebec3b2e65e,1,0
65a9ce64-9d9b-4fb3-9c67-4f351a4fce63,330f6b6e-ea4a-4e34-8c6d-cebec3b2e65e,2,0
25fccbd5-38cb-4383-a3ec-e87a2be27584,330f6b6e-ea4a-4e34-8c6d-cebec3b2e65e,3,1
89674bc5-1686-4e7e-a7b0-3f80719cd24d,330f6b6e-ea4a-4e34-8c6d-cebec3b2e65e,4,1
c3993399-c7c4-4d77-92c3-b13aa5e9b34a,330f6b6e-ea4a-4e34-8c6d-cebec3b2e65e,5,2
36adeaff-d21e-4427-ac76-22203ab20256,8a4e8ad5-dd22-4ea8-a66e-d4b4116c23b1,1,0
50aebad7-552b-4a2e-910b-07a388d70889,8a4e8ad5-dd22-4ea8-a66e-d4b4116c23b1,2,0
e7670ea9-9ca5-4024-98ac-5ff38f670132,8a4e8ad5-dd22-4ea8-a66e-d4b4116c23b1,3,1
3a1eaba6-2984-44be-a145-b13a9569b0e1,8a4e8ad5-dd22-4ea8-a66e-d4b4116c23b1,4,1
b69cea60-28d6-475b-8380-c9d020b4ad8b,8a4e8ad5-dd22-4ea8-a66e-d4b4116c23b1,5,2
e5943991-1fdd-43a9-b248-f60e3446f838,e129a993-1aa0-4ff0-81b6-b9de5d9f932c,1,0
db5c90bb-e316-4227-9a65-17634acbe083,e129a993-1aa0-4ff0-81b6-b9de5d9f932c,2,0
c079c92f-ada4-4593-94c7-9fa665389833,e129a993-1aa0-4ff0-81b6-b9de5d9f932c,3,1
5b6691f9-2149-42dc-91b7-b0c36b1510c0,e129a993-1aa0-4ff0-81b6-b9de5d9f932c,4,1
aedbb3fc-c30a-48c3-9f3f-cd5ace703c11,e129a993-1aa0-4ff0-81b6-b9de5d9f932c,5,2
cf03639d-0617-4a5b-a02a-44dc696e9c73,b26dd790-d60b-494a-8844-3ac619527e3a,1,0
e493e97f-453b-4429-b239-f273c8d2a95b,b26dd790-d60b-494a-8844-3ac619527e3a,2,0
4a970b9b-cda7-4f52-b32c-2d33278860d5,b26dd790-d60b-494a-8844-3ac619527e3a,3,1
e8d64bab-159c-4087-a9c1-23da6586d883,b26dd790-d60b-494a-8844-3ac619527e3a,4,1
a2a5a9fc-1fe0-4552-a832-0b78d7af75f1,b26dd790-d60b-494a-8844-3ac619527e3a,5,2
d04f12a3-bb3d-4306-accd-6667e2d12bb7,5e362f8d-4dd6-4962-b91c-c3332836379a,1,0
13d169a2-98f5-44d2-9939-fc9105c6f317,5e362f8d-4dd6-4962-b91c-c3332836379a,2,0
5d6dbd2a-c799-4395-ba81-d76b68ff242f,5e362f8d-4dd6-4962-b91c-c3332836379a,3,1
d775a73d-b374-4860-a361-4adcf2b1f6cf,5e362f8d-4dd6-4962-b91c-c3332836379a,4,1
417dfbd3-00a3-4667-bbc8-0350d1f3797f,5e362f8d-4dd6-4962-b91c-c3332836379a,5,2
f011283c-a0aa-4d02-a2d4-03bca236016a,0d700988-c153-4cea-955a-4f09f9c57bb4,1,0
43a862ee-bd95-4b19-bb3f-c4b89d2a5178,0d700988-c153-4cea-955a-4f09f9c57bb4,2,0
74f296a3-32f0-4822-8ff3-19badbf8d65f,0d700988-c153-4cea-955a-4f09f9c57bb4,3,1
28417e12-7c10-4955-bcf6-0df3a22d7645,0d700988-c153-4cea-955a-4f09f9c57bb4,4,1
151ec2f8-ba23-491c-9279-2cb9f5c67525,0d700988-c153-4cea-955a-4f09f9c57bb4,5,2
551275b5-f08b-454c-8a72-41ec47a175e0,8ea5e3cb-2cfc-49e3-b645-da0f160a4f08,1,0
8148a83b-b13a-4b30-a715-46a9c27975a4,8ea5e3cb-2cfc-49e3-b645-da0f160a4f08,2,0
e11ac6f0-90f2-4578-844d-03d0d954bb67,8ea5e3cb-2cfc-49e3-b645-da0f160a4f08,3,1
0d18ebb5-3c0b-4aa2-af85-86ec22ce44af,8ea5e3cb-2cfc-49e3-b645-da0f160a4f08,4,1
5b873bd8-1a07-48d0-bea9-6d6180ec4d36,8ea5e3cb-2cfc-49e3-b645-da0f160a4f08,5,2
24caecf4-944d-4b15-ac5a-0c0a6a25a94e,6e37f49b-4866-4ecd-941e-f43eb205344b,1,0
5e4a84af-1b6d-48af-bd1c-1959858d45db,6e37f49b-4866-4ecd-941e-f43eb205344b,2,0
0a521b9e-6eb1-4ad2-9291-d5ed79e5e697,6e37f49b-4866-4ecd-941e-f43eb205344b,3,1
03dba276-7e9a-4c2b-9952-0efe9bcfd769,6e37f49b-4866-4ecd-941e-f43eb205344b,4,1
2d16071c-2581-4a98-a453-e0ab239aaac1,6e37f49b-4866-4ecd-941e-f43eb205344b,5,2
44e7a8ec-1c1c-4211-a29e-d12bbb44b58b,8dab69f5-a8eb-4227-8a33-c3dd3adbfc08,1,0
59f6df7e-cedd-43b0-a536-c5f578ab35f6,8dab69f5-a8eb-4227-8a33-c3dd3adbfc08,2,0
eeb085e4-1318-4414-b494-8b6243815d3d,8dab69f5-a8eb-4227-8a33-c3dd3adbfc08,3,1
bff12321-4493-4fdd-b809-90c81429d02f,8dab69f5-a8eb-4227-8a33-c3dd3adbfc08,4,1
dcd6c12f-2808-4d66-93ad-25d873506146,8dab69f5-a8eb-4227-8a33-c3dd3adbfc08,5,2
26f4ece1-09ee-4f5b-a7dc-e2a0ed76412a,7c9d193b-3634-4f73-ba6c-c422abf7a1f5,1,0
fac22498-a97e-49a1-9738-05d4a5a4a4da,7c9d193b-3634-4f73-ba6c-c422abf7a1f5,2,0
1ef5778a-8f72-4ccd-8ef3-5bc6ce7558c2,7c9d193b-3634-4f73-ba6c-c422abf7a1f5,3,1
595067cb-5672-49cc-ae14-0408900d251a,7c9d193b-3634-4f73-ba6c-c422abf7a1f5,4,1
c5fb1d4a-3331-4d8e-9435-a54a211e1711,7c9d193b-3634-4f73-ba6c-c422abf7a1f5,5,2
75d67f89-b316-48e8-ba39-a7452af9b62e,22400268-bf5a-43cb-995f-fc7c8d5c6e88,1,0
e76b5ae2-29a2-4e67-b5cc-3a557c7e4b8e,22400268-bf5a-43cb-995f-fc7c8d5c6e88,2,0
25d29871-0a35-498c-81be-49fbd4f0b774,22400268-bf5a-43cb-995f-fc7c8d5c6e88,3,1
4214ba1e-d998-4a05-8a9c-05d6dc26dd35,22400268-bf5a-43cb-995f-fc7c8d5c6e88,4,1
ca108efa-46a9-4572-b9f1-1f6b41b4592e,22400268-bf5a-43cb-995f-fc7c8d5c6e88,5,2
33d2196c-2c23-4c74-9180-cf5c4c108fe0,6464d478-5c0d-40b5-8c4c-bb1df5d7479a,1,0
ee5e327d-8b00-4a04-8520-ae97a33eaf6b,6464d478-5c0d-40b5-8c4c-bb1df5d7479a,2,0
1ad629d3-2449-43c5-a933-56fbe737a32e,6464d478-5c0d-40b5-8c4c-bb1df5d7479a,3,1
9dfbe564-1810-4f0f-ae8d-d71dc21462df,6464d478-5c0d-40b5-8c4c-bb1df5d7479a,4,1
ec9ca511-8dda-4647-b3d0-5d09d31b8a75,6464d478-5c0d-40b5-8c4c-bb1df5d7479a,5,2
940a3dcb-4e71-4193-83e6-896598a62311,54533d25-213a-4c71-ac55-4a05618bf0eb,1,0
0bd7baea-bb05-41b2-a00f-88783e09c0cc,54533d25-213a-4c71-ac55-4a05618bf0eb,2,0
cd82844e-a950-4625-b1d8-6dcffa9fdd7c,54533d25-213a-4c71-ac55-4a05618bf0eb,3,1
03375009-5205-41ef-9799-03bd71de2dd1,54533d25-213a-4c71-ac55-4a05618bf0eb,4,1
ce87a745-6853-4152-9558-d5f0eb8a4b12,54533d25-213a-4c71-ac55-4a05618bf0eb,5,2
d1130989-4d13-4e75-a1bd-e7be53c6bec6,6ccb8318-3875-4bd1-a8e3-172f0e41fb0d,1,0
b3b8b0ec-a91e-4ee2-92b8-2a813d69342a,6ccb8318-3875-4bd1-a8e3-172f0e41fb0d,2,0
9147dbee-c070-4498-b981-82ef52712b28,6ccb8318-3875-4bd1-a8e3-172f0e41fb0d,3,1
9636eb8a-e317-4bd2-bb9c-63bbd3b7e63c,6ccb8318-3875-4bd1-a8e3-172f0e41fb0d,4,1
61bfaa51-e90b-49cb-a47e-1ea2cd888a71,6ccb8318-3875-4bd1-a8e3-172f0e41fb0d,5,2
bdaf05ea-fa54-459b-83ae-845cdad068c2,fc76dac9-b805-4c08-b00c-ce508426bd39,1,0
72a172b8-bb3a-4024-b749-63b9c9d90cc6,fc76dac9-b805-4c08-b00c-ce508426bd39,2,0
031ae8b7-01e9-42da-bae4-75e9f75f74e1,fc76dac9-b805-4c08-b00c-ce508426bd39,3,1
8cb8dec0-57be-4dd9-85a5-d8c370557fdf,fc76dac9-b805-4c08-b00c-ce508426bd39,4,1
0c5ebbec-038e-4f70-b724-5e1580943c4c,fc76dac9-b805-4c08-b00c-ce508426bd39,5,2
dcd3b7e6-787d-4bb7-8789-bd6e20095f99,aa93de36-f8d6-4e53-bd1a-6027f68fd531,1,0
deeccb97-7854-4558-9513-e49ea4f2c030,aa93de36-f8d6-4e53-bd1a-6027f68fd531,2,0
ec5531d6-d7e3-4197-8606-bb8abfca36bb,aa93de36-f8d6-4e53-bd1a-6027f68fd531,3,1
bcd46dfe-126b-4bb0-9325-c2809d935e53,aa93de36-f8d6-4e53-bd1a-6027f68fd531,4,1
8718513e-3519-48a0-9ed1-b44e1899736a,aa93de36-f8d6-4e53-bd1a-6027f68fd531,5,2
b53f6b45-4975-4805-90b7-0799187b8365,fd21efe8-c1ab-47d5-afdc-28efa49db475,1,0
2aab4833-a56a-4c3f-be3b-6e8cb8c42cbf,fd21efe8-c1ab-47d5-afdc-28efa49db475,2,0
2570180c-7039-484a-8622-81680cff7051,fd21efe8-c1ab-47d5-afdc-28efa49db475,3,1
27aba1d5-62f2-4cbe-9b76-99a0579a8a53,fd21efe8-c1ab-47d5-afdc-28efa49db475,4,1
2b31727c-07c6-4316-bfa8-c3c2b7dbca27,fd21efe8-c1ab-47d5-afdc-28efa49db475,5,2
4d69fc65-cd18-4ce8-9441-6fb6fec288e7,d8574139-db69-4a88-8314-ba5060250ab7,1,0
3feead36-2c90-4c35-8a5b-362368c97c5f,d8574139-db69-4a88-8314-ba5060250ab7,2,0
91890036-3622-4699-b236-68193696e006,d8574139-db69-4a88-8314-ba5060250ab7,3,1
5008eb41-9370-4558-9e69-9d1fae9f4f38,d8574139-db69-4a88-8314-ba5060250ab7,4,1
a24a313c-3ca9-4bb2-834d-1ff5e02149f5,d8574139-db69-4a88-8314-ba5060250ab7,5,2
